"上段：度数／下段：%","n=","１歳未満","１～５歳","６～１０歳","１１～１５歳","１６～２０歳","２１～２５歳","２６歳以上","無回答","平均値"
"ＴＯＴＡＬ","7540","835","1818","933","893","650","403","406","1602","9.5"
"ＴＯＴＡＬ","100","11.1","24.1","12.4","11.8","8.6","5.3","5.4","21.2",""
"性別・年代／女性計","7053","793","1737","896","837","619","370","345","1456","9.4"
"性別・年代／女性計","100","11.2","24.6","12.7","11.9","8.8","5.2","4.9","20.6",""
"性別・年代／女性２０代","716","284","271","7","0","0","0","0","154","1.0"
"性別・年代／女性２０代","100","39.7","37.8","1.0","0.0","0.0","0.0","0.0","21.5",""
"性別・年代／女性３０代","2392","473","1155","274","52","1","0","0","437","2.8"
"性別・年代／女性３０代","100","19.8","48.3","11.5","2.2","0.0","0.0","0.0","18.3",""
"性別・年代／女性４０代","2346","33","300","583","671","273","40","0","446","10.6"
"性別・年代／女性４０代","100","1.4","12.8","24.9","28.6","11.6","1.7","0.0","19.0",""
"性別・年代／女性５０代以上","1540","0","1","24","106","336","327","341","405","22.6"
"性別・年代／女性５０代以上","100","0.0","0.1","1.6","6.9","21.8","21.2","22.1","26.3",""
"性別・年代／男性計","137","22","49","13","13","3","2","9","26","6.9"
"性別・年代／男性計","100","16.1","35.8","9.5","9.5","2.2","1.5","6.6","19.0",""
"性別・年代／男性２０代","32","9","15","0","0","0","0","0","8","0.9"
"性別・年代／男性２０代","100","28.1","46.9","0.0","0.0","0.0","0.0","0.0","25.0",""
"性別・年代／男性３０代以上","105","13","34","13","13","3","2","9","18","8.5"
"性別・年代／男性３０代以上","100","12.4","32.4","12.4","12.4","2.9","1.9","8.6","17.1",""
"性別・年代／無回答","350","20","32","24","43","28","31","52","120","15.5"
"性別・年代／無回答","100","5.7","9.1","6.9","12.3","8.0","8.9","14.9","34.3",""
