"","保育士で就業中(%)","保育士以外の職種で就業中（保育士就業経験有り）(%)","保育士以外の職種で就業中（保育士就業経験無し）(%)","未就業（保育士就業経験有り）(%)","未就業（保育士以外で就業経験有り）(%)","未就業（過去も就業経験無し）(%)","無回答(%)","サンプル数"
"TOTAL","53.4","8.4","18.6","10.2","6.0","","","15369"
"女性計","53.5","8.2","18.2","10.6","6.3","","","14059"
"女性２０代","57.8","4.3","23.8","6.8","3.3","","","5708"
"女性３０代","44.4","8.4","15.2","18.1","11.4","","","3634"
"女性４０代","54.5","12.1","15.9","8.6","6.9","","","2861"
"女性５０代以上","57.4","14.1","10.6","10.2","4.7","","","1751"
"男性計","54.2","9.6","28.4","","","","","701"
"男性２０代","59.4","7.8","24.9","","","3.2","","473"
"男性３０代以上","43.8","13.3","35.4","","","","","226"
