"","施設数","施設内の給食調理施設で調理／施設数","施設内の給食調理施設で調理／割合","共同調理場で調理した給食を提供するセンター方式／施設数","共同調理場で調理した給食を提供するセンター方式／割合","民間業者が弁当を作って所・園に届ける弁当方式／施設数","民間業者が弁当を作って所・園に届ける弁当方式／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1575","1570","99.7","1","0.1","1","0.1","45","2.9","4","0.3"
"認証保育所＊","526","523","99.4","","","","","5","1.0","3","0.6"
"認定こども園＊","93","73","78.5","7","7.5","19","20.4","3","3.2","",""
"幼稚園＊","381","81","21.3","36","9.4","273","71.7","42","11.0","3","0.8"
"ベビーホテル","246","181","73.6","2","0.8","55","22.4","25","10.2","1","0.4"
"家庭的保育","142","124","87.3","2","1.4","1","0.7","19","13.4","2","1.4"
"学童保育","122","64","52.5","","","69","56.6","49","40.2","2","1.6"
"上記以外の施設","251","195","77.7","18","7.2","27","10.8","33","13.1","3","1.2"
"総数","3336","2811","84.3","66","2.0","445","13.3","221","6.6","18","0.5"
"＊前回調査施設 (再掲）","2575","2247","87.3","44","1.7","293","11.4","95","3.7","10","0.4" 
