"","昭和35年","昭和40年","昭和45年","昭和50年","昭和55年","昭和60年","平成2年","平成7年","平成12年","平成17年","平成22年","平成25年"
"東京都(左目盛)","","","","","","","","","","96542","","109986"
"全国(右目盛)","","","","","","","","","","1062530","","1029816"
