"年度","賛成(%)","どちらかといえば賛成(%)","わからない(%)","どちらかとえいば反対(%)","反対(%)"
"16","17.6","34.7","5.0","28.3","14.4"
"14","20.7","34.8","5.8","25.2","13.5"
