"","発見から終結又は現在までの期間","回答数","構成比(%)"
"1","３ヶ月未満","114","24.5"
"2","３ヶ月～半年未満","66","14.2"
"3","半年～１年未満","112","24.1"
"4","１年～１年半未満","66","14.2"
"5","１年半～２年未満","42","9.0"
"6","２年以上","58","12.5"
"0","無回答","7","1.5"
"","合計","465","100.0"
