"年次","検案／総数(人)","検案／病死(人)","検案／不慮の外因死(人)","検案／不慮の外因死／交通事故(人)","検案／不慮の外因死／中毒(人)","検案／不慮の外因死／その他(人)","検案／その他(人)","検案／その他／自殺(人)","検案／その他／他殺(人)","検案／その他／その他(人)","検案／当院以外の司法解剖等(人)","当院解剖(人)"
"1946(S21)","2721","459","1268","349","297","622","994","600","117","277","","1198"
"1947(S22)","2830","411","1307","499","111","697","1112","797","162","153","","1186"
"1948(S23)","678","155","275","124","21","130","248","155","51","42","","384"
"1948(S23)","2523","322","1122","460","61","601","1079","720","133","226","","1065"
"1949(S24)","3298","501","1441","483","64","894","1356","1044","210","102","","1459"
"1950(S25)","3840","759","1424","533","57","834","1657","1246","212","199","","1840"
"1951(S26)","3696","755","1438","509","59","870","1503","1169","160","174","","1866"
"1952(S27)","4004","895","1454","592","69","793","1655","1289","175","191","","1969"
"1953(S28)","4364","959","1635","814","55","766","1770","1412","161","197","","1946"
"1954(S29)","4798","1016","1678","809","90","779","2104","1765","188","151","","1903"
"1955(S30)","4756","894","1621","799","72","750","2241","1895","188","158","","1663"
"1956(S31)","4800","994","1716","831","115","770","2090","1806","145","139","","1658"
"1957(S32)","5193","1093","1889","994","167","728","2211","1923","157","131","","1718"
"1958(S33)","5548","1057","1916","1062","159","695","2575","2239","204","132","","1618"
"1959(S34)","5559","1086","2195","1257","169","769","2278","1926","201","151","","1531"
"1960(S35)","5677","1161","2313","1316","157","840","2203","1842","188","173","","1708"
"1961(S36)","5668","1353","2382","1316","128","938","1933","1598","200","135","","1903"
"1962(S37)","5524","1607","2250","1221","108","921","1667","1333","168","166","","2103"
"1963(S38)","5038","1457","2107","1084","103","920","1474","1185","161","128","","2039"
"1964(S39)","5131","1602","2230","1126","111","993","1299","995","167","137","","2158"
"1965(S40)","4965","1780","1874","931","117","826","1311","1024","159","128","","2220"
"1966(S41)","5393","1855","2034","1065","81","888","1504","1199","170","135","","1976"
"1967(S42)","5146","1970","1791","813","93","885","1385","1070","174","141","","1994"
"1968(S43)","5234","2063","1804","840","90","874","1367","1088","168","111","","1799"
"1969(S44)","5603","2264","1974","940","102","932","1365","1117","154","94","","1891"
"1970(S45)","5844","2376","1969","928","136","905","1499","1190","184","125","","1786"
"1971(S46)","5480","2296","1643","745","109","789","1541","1237","153","151","","1858"
"1972(S47)","5745","2483","1562","658","96","808","1700","1408","158","134","","1953"
"1973(S48)","5778","2657","1394","576","76","742","1727","1462","157","108","","1866"
"1974(S49)","5717","2663","1348","542","96","710","1706","1403","185","118","","1704"
"1975(S50)","5329","2581","1099","439","76","584","1649","1361","148","140","","1762"
"1976(S51)","5399","2693","1067","410","71","586","1639","1373","147","119","","1694"
"1977(S52)","5527","2810","1043","389","61","593","1674","1361","148","165","","1785"
"1978(S53)","5555","2868","1043","395","75","573","1644","1377","147","120","","1732"
"1979(S54)","5412","2912","899","363","50","486","1601","1326","149","126","","1718"
"1980(S55)","5748","3164","962","396","47","519","1622","1332","131","159","","1843"
"1981(S56)","5851","3297","918","417","53","448","1636","1342","121","173","","2037"
"1982(S57)","5775","3296","996","484","41","471","1483","1178","122","183","","1998"
"1983(S58)","6657","3875","892","459","36","397","1890","1563","116","211","","2076"
"1984(S59)","6677","3826","1049","472","75","502","1802","1471","116","215","","2228"
"1985(S60)","6745","3978","996","458","47","491","1771","1426","107","238","","2151"
"1986(S61)","7221","4300","968","473","64","431","1953","1620","103","230","","2226"
"1987(S62)","7105","4401","972","482","58","432","1732","1386","102","244","","2038"
"1988(S63)","7261","4581","974","466","52","456","1706","1319","115","272","","2115"
"1989(H元)","7376","4731","988","513","58","417","1657","1232","98","327","","2243"
"1990(H2)","7853","5234","1010","487","53","470","1609","1199","95","315","","2556"
"1991(H3)","8061","5399","1017","451","60","506","1645","1252","119","274","","2693"
"1992(H4)","8507","5700","1055","464","73","518","1570","1240","0","330","182","2727"
"1993(H5)","8770","6117","956","397","61","498","1474","1197","1","276","223","2537"
"1994(H6)","8917","6096","959","403","62","494","1647","1373","3","271","215","2447"
"1995(H7)","9226","6366","1016","411","60","545","1633","1371","4","258","211","2454"
"1996(H8)","9215","6344","1008","381","65","562","1690","1474","1","215","173","2340"
"1997(H9)","9052","6175","1010","395","55","560","1706","1471","3","232","161","2340"
"1998(H10)","9982","6384","1028","371","49","608","2401","2082","1","318","169","2396"
"1999(H11)","10273","6606","1057","385","55","617","2389","2049","1","339","221","2542"
"2000(H12)","10132","6412","1088","390","60","638","2407","2073","0","334","225","2264"
"2001(H13)","10002","6489","1091","349","42","700","2209","1858","0","351","213","2386"
"2002(H14)","10005","6459","1019","336","62","621","2315","1807","3","505","212","2583"
"2003(H15)","10840","7042","1066","306","56","704","2509","1987","0","522","223","2627"
"2004(H16)","11123","7452","1046","268","59","719","2366","1850","3","513","259","2734"
"2005(H17)","11974","8276","1092","278","60","754","2418","1821","1","596","188","2702"
"2006(H18)","12022","8445","1062","245","47","770","2342","1811","2","529","173","2553"
"2007(H19)","13154","9038","1153","247","56","850","2739","2071","1","667","224","2647"
"2008(H20)","12989","8975","1112","193","85","834","2623","1981","2","640","279","2661"
"2009(H21)","12943","9042","980","177","61","742","2679","2003","1","675","242","2700"
"2010(H22)","14396","9986","1246","197","90","959","2926","2029","0","897","238","2935"
"2011(H23)","13997","9542","1158","197","93","868","3024","2140","0","884","273","2624"
"2012(H24)","13949","9799","1153","195","72","886","2684","1807","1","876","313","2451"
"2013(H25)","13593","9295","1176","172","80","924","2828","1866","3","959","294","2338"
"2014(H26)","13301","9158","1068","154","62","852","2700","1747","0","953","375","2225"
"合計","508465","280087","92546","38681","5611","48254","130546","103363","7125","20058","5286","145070"
