"主に保育にあたる者の状況","待機児童数(人)","構成比(%)"
"就労中(常勤)","3636","46.5"
"就労中(非常勤)","1193","15.3"
"求職中","2380","30.5"
"その他(出産・看護等)","605","7.7"
"計","7814","100.0"
