"","保育園数"
"保育士、教諭等に口頭で伝達する","91"
"おぼんを通常食と変える","86"
"食器を専用にする","62"
"アレルギー児の名札にアレルギー食と記載する","61"
"園児に配膳当番をさせない","41"
"食器に名前を明記する","20"
