"年齢","人","平均値(％)","標準偏差(％)","パーセンタイル／1(％)","パーセンタイル／5(％)","パーセンタイル／10(％)","パーセンタイル／25(％)","パーセンタイル／50(中央値)(％)","パーセンタイル／75(％)","パーセンタイル／90(％)","パーセンタイル／95(％)","パーセンタイル／99(％)"
"男性総数","205","58.3","8.7","34.6","44","47.8","52.8","58.7","63.9","68.8","71.1","75.9"
"1～2歳","4","50.8","13.8","32.9","35.1","37.8","45.9","52.9","57.9","62.3","63.7","64.9"
"3～5歳","5","56.3","8.3","43.9","45.3","47.1","52.6","59.9","62.6","62.8","62.9","62.9"
"6～7歳","6","58.7","7.9","44.7","47.4","50.7","57.7","60.5","63.6","64.7","65.2","65.5"
"8～9歳","3","60.5","0.6","60","60","60.1","60.1","60.3","60.7","61","61.1","61.2"
"10～11歳","5","59.9","7.8","48.2","49.8","51.7","57.5","62.2","63.1","66.5","67.6","68.5"
"12～14歳","8","55.4","7.3","47.7","47.9","48.1","50.6","53.4","59.3","63.5","66.5","69"
"15～17歳","6","55.4","7.6","43.5","44.9","46.6","51.3","57.9","61.3","61.8","62","62.2"
"18～29歳","20","56.5","9.6","37.6","44.5","47.6","50.3","57","63.9","68.9","70","74.8"
"30～49歳","42","57.7","9.6","31","41.7","46.5","52.6","58.7","63.7","67.5","69.3","76.3"
"50～69歳","60","59.5","8.7","42.3","44.1","46.7","54.4","59.7","65.3","71.3","72.9","74.9"
"70歳以上","46","59.2","7.8","47.9","48.7","49.4","53.6","58.9","65","68.5","69.6","79.9"
"女性総数","228","55.9","8.3","36.9","43.8","46.2","50.5","55.1","60.6","65.6","70.4","77.3"
"1～2歳","3","52.8","3.1","50","50.2","50.4","51.2","52.5","54.3","55.4","55.7","56"
"3～5歳","2","63.1","3.4","60.7","60.9","61.1","61.9","63.1","64.3","65","65.2","65.4"
"6～7歳","6","52.7","5.6","48.7","48.7","48.7","49","50.8","53.4","58.6","61","62.9"
"8～9歳","4","58.3","9.5","46.4","47.6","49.1","53.7","59.3","63.9","66.6","67.5","68.2"
"10～11歳","1","51.4","0","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4"
"12～14歳","8","55.5","5.8","48.8","49","49.2","51.3","54.4","59.5","61.8","63.7","65.2"
"15～17歳","7","56.1","10.5","37.8","40.3","43.4","51.2","59.3","64.3","65.2","65.2","65.2"
"18～29歳","17","54.4","11.6","37.1","38.3","40","46.1","55","60.8","69.6","73.2","76.8"
"30～49歳","60","55.6","7","42.4","46.1","47.1","51","54.6","59.6","65.5","67.9","73.2"
"50～69歳","71","55.6","9.1","34.6","44","46.3","49.8","54.4","61.1","66.8","72.8","77.9"
"70歳以上","49","57.4","7.8","38.9","45.2","47","54.1","57.4","60.9","65.5","70.1","75.7"
"(再掲)妊婦","1","42.1","0","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1"
"授乳婦","1","60.6","0","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6"
