"","20～24歳(人)","25～29歳(人)","30～34歳(人)","35～39歳(人)"
"S52","0.75","1.36","1.99","2.16"
"S57","0.50","1.28","1.99","2.16"
"S62","0.72","1.32","1.98","2.14"
"H4","0.69","1.09","1.76","2.15"
"H9","0.68","0.95","1.61","2.06"
"H14","0.85","0.96","1.52","1.90"
