"","毎日食べる(％)","１週間に４～５日(％)","１週間に２～３日(％)","１週間に１日以下(％)","食べない(％)","無回答(％)"
"小学5年生","28.5","24.1","28.7","13.6","3.3","2.0"
"中学2年生","29.8","22.2","26.3","16.1","4.6","1.0"
