"年齢(歳)","人数(人)","適正範囲以下(%)","適正範囲(%)","適正範囲以上(%)"
"1-17","68","2.9","52.9","44.1"
"18-29","37","16.2","43.2","40.5"
"30-69","233","14.6","42.9","42.5"
"70以上","95","17.9","53.7","28.4"
