"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"吸わないと思う","277","91.8","298","94.6"
"中学生になったら吸う","1","0.3","","0.0"
"高校生になったら吸う","4","1.3","3","1.0"
"20歳になったら吸う","20","6.6","13","4.1"
"既に吸っている","0","0.0","1","0.3"
"合計","302","100.0","315","100.0"
