"食品群別","亜鉛(mg)","ビタミンD(μg)","ビタミンE(mgα-TE)","ビタミンK(μg)","ビタミンB6(mg)","ビタミンB12(μg)","葉酸(μｇ)","パントテン酸(mg)","ビオチン(mg)","マンガン(μｇ)","ヨウ素(mgα-TE)","セレン(μｇ)","クロム(mg)","モリブデン(μｇ)"
"調査人数","433","433","433","433","433","433","433","433","433","433","433","433","433","433"
"総量","7.9","7.5","6.4","225","1.12","6.5","278","5.42","22.7","3.08","1317","44","5","152"
"動物性食品","3.5","6.8","1.6","17","0.45","6.0","36","2.30","5.8","0.05","23","20","1","6"
"植物性食品","4.4","0.8","4.8","208","0.68","0.5","242","3.12","16.8","3.03","1294","24","5","146"
"穀類","2.2","0.0","0.4","0","0.09","0.0","28","1.12","2.6","1.24","0","17","1","89"
"米･加工品","1.6","0.0","0.0","0","0.06","0.0","8","0.68","1.4","0.95","0","3","0","80"
"米","1.6","0.0","0.0","0","0.06","0.0","8","0.67","1.3","0.93","0","3","0","79"
"米加工品","0.0","0.0","0.0","0","0.00","0.0","0","0.01","0.0","0.02","0","0","0","1"
"小麦･加工品","0.5","0.0","0.4","0","0.02","0.0","18","0.40","1.0","0.25","0","13","1","8"
"小麦粉類","0.0","0.0","0.0","0","0.00","0.0","0","0.02","0.0","0.02","0","0","0","0"
"パン類(菓子パンを除く","0.3","0.0","0.2","0","0.01","0.0","13","0.20","0.6","0.12","0","6","0","5"
"菓子パン類","0.0","0.0","0.0","0","0.00","0.0","1","0.02","0.0","0.00","0","0","0","0"
"うどん､中華めん類","0.1","0.0","0.0","0","0.00","0.0","1","0.10","0.2","0.08","0","4","0","1"
"即席中華めん","0.0","0.0","0.1","0","0.00","0.0","0","0.01","0.0","0.01","0","0","0","0"
"パスタ類","0.1","0.0","0.0","0","0.00","0.0","0","0.02","0.1","0.00","0","3","0","1"
"その他の小麦加工品","0.0","0.0","0.0","0","0.00","0.0","1","0.02","0.0","0.02","0","0","0","0"
"その他の穀類･加工品","0.1","0.0","0.0","0","0.01","0.0","1","0.04","0.3","0.04","0","1","0","1"
"そぱ･加工品","0.0","0.0","0.0","0","0.00","0.0","1","0.03","0.2","0.04","0","1","0","1"
"とうもろこし･加工品","0.0","0.0","0.0","0","0.00","0.0","0","0.00","0.0","0.00","0","0","0","0"
"その他の穀類","0.0","0.0","0.0","0","0.00","0.0","0","0.00","0.0","0.00","0","0","0","0"
"いも類","0.1","0.0","0.1","0","0.07","0.0","8","0.17","0.4","0.06","0","0","1","1"
"いも･加工品","0.1","0.0","0.1","0","0.07","0.0","8","0.17","0.4","0.06","0","0","1","1"
"さつまいも･加工品","0.0","0.0","0.1","0","0.01","0.0","2","0.04","0.2","0.02","0","0","0","0"
"じゃがいも･加工品","0.1","0.0","0.0","0","0.05","0.0","5","0.10","0.1","0.03","0","0","1","1"
"その他のいも･加工品","0.0","0.0","0.0","0","0.01","0.0","1","0.03","0.2","0.01","0","0","0","0"
"でんぷん･加工品","0.0","0.0","0.0","0","0.00","0.0","0","0.00","0.0","0.00","0","0","0","0"
"砂糖･甘味料類","0.0","0.0","0.0","0","0.00","0.0","0","0.00","0.1","0.00","0","0","0","0"
"豆類","0.5","0.0","0.3","63","0.05","0.0","20","0.39","2.5","0.20","1","2","0","36"
"大豆･加工品","0.5","0.0","0.3","63","0.05","0.0","19","0.38","2.5","0.20","1","2","0","35"
"大豆(全粒)･加工品","0.0","0.0","0.0","0","0.00","0.0","1","0.01","0.1","0.00","0","0","0","1"
"豆腐","0.2","0.0","0.0","4","0.02","0.0","3","0.02","0.5","0.11","1","1","0","5"
"油揚げ類","0.1","0.0","0.1","3","0.00","0.0","1","0.01","0.1","0.07","0","0","0","0"
"納豆","0.2","0.0","0.0","56","0.02","0.0","11","0.33","1.6","0.00","0","1","0","25"
"その他の大豆加工品","0.0","0.0","0.1","0","0.01","0.0","3","0.02","0.2","0.01","0","0","0","3"
"その他の豆･加工品","0.0","0.0","0.0","0","0.00","0.0","1","0.01","0.1","0.00","0","0","0","1"
"種実類","0.1","0.0","0.1","0","0.01","0.0","3","0.02","0.2","0.05","0","0","0","0"
"野菜類","0.5","0.2","1.5","113","0.22","0.0","107","0.59","2.5","0.43","1","1","1","5"
"緑黄色野菜","0.2","0.0","1.2","70","0.09","0.0","42","0.24","1.4","0.16","0","1","0","1"
"トマト","0.0","0.0","0.2","1","0.02","0.0","6","0.04","0.6","0.02","0","0","0","1"
"にんじん","0.0","0.0","0.1","0","0.02","0.0","3","0.05","0.4","0.03","0","0","0","0"
"ほうれん草","0.0","0.0","0.2","23","0.01","0.0","8","0.01","0.2","0.03","0","0","0","0"
"ピーマン","0.0","0.0","0.1","1","0.01","0.0","1","0.01","0.1","0.01","0","0","0","0"
"その他の緑黄色野菜","0.1","0.0","0.6","45","0.03","0.0","24","0.13","0.1","0.07","0","0","0","0"
