"","いつもわかる(％)","だいたいわかる(％)","あまりわからない(％)","わからないことが多い(％)","ほとんどわからない(％)","無回答(％)"
"全体","13.1","61.5","12.5","9.3","2.5","1.2"
"困窮層","3.9","44.1","20.3","25.2","6.0","0.6"
"周辺層","10.2","56.6","14.4","13.7","2.9","2.2"
"一般層","14.9","64.6","10.7","7.3","1.4","1.2"
