"","２日以下(%)","３日(%)","４日(%)","５日(%)","６日以上(%)","無回答(%)","サンプル数","平均"
"TOTAL","","11.9","17.4","34.7","","33.3","2871","4.3"
"正規職員雇用のみ希望者","","","","66.5","3.8","26.6","526","5.0"
"パート・非常勤雇用のみ希望者","","22.0","31.5","24.4","","19.0","1246","4.0"
"正規職員またはパート・非常勤雇用希望者","","4.5","8.5","67.0","","17.0","176","4.8"
