"(単位 回 世帯)","延べ回数／総数","延べ回数／母子家庭","延べ回数／父子家庭","利用実世帯数／総数","利用実世帯数／母子家庭","利用実世帯数／父子家庭","平均回数／総数","平均回数／母子家庭","平均回数／父子家庭"
"H21","15958","12953","3005","806","751","55","19.8","17.2","54.6"
"H22","15798","12467","3331","589","521","68","26.8","23.9","49.0"
"H23","16791","13735","3056","480","425","55","35.0","32.3","55.6"
"H24","11105","8620","2485","312","261","51","35.6","33.0","48.7"
"H25","9539","7604","1935","411","370","41","23.2","20.6","47.2"
