"","昭和40","昭和45","昭和50","昭和55","昭和58","昭和60","平成2","平成7","平成12","平成14","平成15"
"離婚件数","","","","","179150","","","","","289836","283854"
"離婚率(%)","","","","","1.51","","","","","2.30","2.25"
