"","相談件数(件)","相談人数(人)","求人登録者数(人)","求人数(人)","就職者数(人)","うち正社員就職数／人数(人)","うち正社員就職数／就職者に占める割合(％)"
"H16","609","310","","323","29","7","24.1"
"H17","833","539","1","233","13","7","53.8"
"H18","1298","944","135","293","47","14","29.8"
"H19","1375","960","272","215","87","22","25.3"
"H20","2183","1654","325","234","123","67","54.5"
