"(単位：千円、%)","計画値","実績","実績/計画"
"八王子市","35136803","33489662","95.31"
"立川市","11314038","10849587","95.89"
"武蔵野市","9778450","9530887","97.47"
"三鷹市","10898275","10361813","95.08"
"青梅市","7609118","7361214","96.74"
"府中市","13971942","13366909","95.67"
"昭島市","7383888","6974317","94.45"
"調布市","13401320","12646668","94.37"
"町田市","27488871","26742997","97.29"
"小金井市","7108127","6573158","92.47"
"小平市","11424714","10918722","95.57"
"日野市","10988436","11213371","102.05"
"東村山市","10904530","10098384","92.61"
"国分寺市","7137954","6932695","97.12"
"国立市","4520311","4533801","100.30"
"福生市","3721483","3428537","92.13"
"狛江市","5169365","5135524","99.35"
"東大和市","5078171","4543207","89.47"
"清瀬市","5719785","5297748","92.62"
"東久留米市","7239618","7057643","97.49"
"武蔵村山市","3831735","3720020","97.08"
"多摩市","7716149","7607008","98.59"
"稲城市","3778175","3437046","90.97"
"羽村市","2731108","2629693","96.29"
"あきる野市","5207827","4977353","95.57"
"西東京市","13687967","13555073","99.03"
"瑞穂町","2002740","1848379","92.29"
"日の出町","1160735","1096210","94.44"
"檜原村","434681","409856","94.29"
"奥多摩町","760630","720868","94.77"
