"","総数","外国人宿泊客に紹介したことがある","知っているが外国人宿泊客に紹介したことはない","知らない","無回答"
"総数／n","274","7","59","204","4"
"総数／%","100","2.6","21.5","74.5","1.5"
"業態別／シティホテル／n","36","3","8","25","0"
"業態別／シティホテル／%","100","8.3","22.2","69.4","0.0"
"業態別／ビジネスホテル／n","188","4","44","139","1"
"業態別／ビジネスホテル／%","100","2.1","23.4","73.9","0.5"
"業態別／旅館／n","22","0","2","20","0"
"業態別／旅館／%","100","0.0","9.1","90.9","0.0"
"業態別／その他／n","27","0","4","20","3"
"業態別／その他／%","100","0.0","14.8","74.1","11.1"
