"","ほとんどの家具が移動や転倒・収納物が散乱(人)","ほとんどの家具が移動や転倒(人)","いくつかの家具が移動や転倒・収納物が散乱(人)","いくつかの家具が移動や転倒(人)","収納物が散乱(人)","ほとんど変化なし(人)"
"全壊","2","13","1","5","","0"
"半壊","3","33","5","9","","0"
"一部損傷","4","24","17","36","17","18"
"ほぼ無被害","","3","7","25","15","13"
