"","働いている(%)","働いていない(%)","無回答(%)","出典"
"父","98.5","1.3","0.2","「平成14年度東京都社会福祉基礎調査」福祉局"
"母","44.9","54.4","0.7","「平成14年度東京都社会福祉基礎調査」福祉局"
