"年度","小学校(%)","中学校(%)","高校(%)","特別支援学校(%)"
"20","38.4","66.4","96.2","53.8"
"21","41.9","67.3","94.3","91.6"
"22","39.8","68.9","95.3","96.4"
"23","42.9","70.5","96.0","84.3"
"24","51.1","72.6","95.2","72.9"
"25","59.7","75.9","96.5","83.1"
