"","総数","対応人数別／1～10人以下","対応人数別／11～50人以下","対応人数別／51～100人以下","対応人数別／101～500人以下","対応人数別／501～1000人以下","対応人数別／1001人以上","対応人数別／0人(無回答含む)"
"対応言語別／英語／n","45","14","7","3","3","2","1","15"
"対応言語別／英語／%","100","31.1","15.6","6.7","6.7","4.4","2.2","33.3"
"対応言語別／中国語／n","45","11","6","2","2","0","1","23"
"対応言語別／中国語／%","100","24.4","13.3","4.4","4.4","0.0","2.2","51.1"
"対応言語別／韓国語／n","45","8","2","1","0","1","0","33"
"対応言語別／韓国語／%","100","17.8","4.4","2.2","0.0","2.2","0.0","73.3"
"対応言語別／タイ語／n","45","3","1","0","0","0","0","41"
"対応言語別／タイ語／%","100","6.7","2.2","0.0","0.0","0.0","0.0","91.1"
"対応言語別／タガログ語（フィリピン）／n","45","2","1","0","0","0","0","42"
"対応言語別／タガログ語（フィリピン）／%","100","4.4","2.2","0.0","0.0","0.0","0.0","93.3"
"対応言語別／ミャンマー語／n","45","2","1","0","0","0","0","42"
"対応言語別／ミャンマー語／%","100","4.4","2.2","0.0","0.0","0.0","0.0","93.3"
"対応言語別／ベトナム語／n","45","1","0","0","0","0","0","44"
"対応言語別／ベトナム語／%","100","2.2","0.0","0.0","0.0","0.0","0.0","97.8"
"対応言語別／ネパール語／n","45","4","0","0","0","0","0","41"
"対応言語別／ネパール語／%","100","8.9","0.0","0.0","0.0","0.0","0.0","91.1"
"対応言語別／フランス語／n","45","5","0","0","0","0","0","40"
"対応言語別／フランス語／%","100","11.1","0.0","0.0","0.0","0.0","0.0","88.9"
"対応言語別／スペイン語／n","45","2","0","0","0","0","0","43"
"対応言語別／スペイン語／%","100","4.4","0.0","0.0","0.0","0.0","0.0","95.6"
"対応言語別／その他／n","45","7","0","0","2","0","0","36"
"対応言語別／その他／%","100","15.6","0.0","0.0","4.4","0.0","0.0","80.0"
