"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","7.6","3.3","2.2","3.3","4","5.7","7.1","9.3","11.4","13","17"
"1～2歳","4","4.3","2.9","1.1","1.4","1.8","2.8","4.2","5.7","7","7.5","7.8"
"3～5歳","5","4","1.1","3","3.1","3.2","3.4","3.7","4.1","5.1","5.5","5.8"
"6～7歳","6","6","1.8","4","4.3","4.6","5.4","5.8","6","7.7","8.5","9.1"
"8～9歳","3","5.4","1.9","3.3","3.5","3.8","4.8","6.3","6.5","6.7","6.7","6.7"
"10～11歳","5","6.2","1.9","3.8","4.1","4.6","5.9","6.1","6.7","8","8.4","8.8"
"12～14歳","8","6.7","2.8","3.2","3.7","4.2","5","5.9","7.9","10.6","10.9","11.2"
"15～17歳","6","7.7","2.4","5.5","5.6","5.8","6.5","7.4","7.6","9.9","11.1","12"
"18～29歳","20","7.6","2.6","3.7","4.1","4.5","5.8","7.3","9.2","11.6","11.7","12.1"
"30～49歳","42","7","2.9","2.4","3.3","3.9","4.9","7","8.2","10.5","11.3","15.4"
"50～69歳","60","8.5","3.4","2.8","4.1","4.9","6.3","7.8","10.5","12.2","14","18.4"
"70歳以上","46","8.5","3.6","1.9","3.6","5.4","6.6","8.1","9.7","11.4","15","20"
"女性総数","228","7","3.1","2","2.8","3.7","5","6.4","8.5","10.5","12.7","16.1"
"1～2歳","3","3.9","1.4","2.6","2.7","2.8","3.2","3.7","4.6","5.1","5.2","5.4"
"3～5歳","2","6.3","0.9","5.7","5.8","5.8","6","6.3","6.6","6.8","6.9","6.9"
"6～7歳","6","4.5","1.7","2.8","3","3.2","3.8","3.9","4.7","6.3","7","7.6"
"8～9歳","4","4.9","1.6","3.3","3.3","3.4","3.7","4.9","6.1","6.3","6.4","6.4"
"10～11歳","1","6.2","0","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2"
"12～14歳","8","6.7","1","5.5","5.7","5.9","6.2","6.5","6.9","8","8.3","8.5"
"15～17歳","7","6.4","1.6","4.7","4.7","4.7","5","6","7.9","8.1","8.1","8.2"
"18～29歳","17","7.2","4","4.1","4.2","4.7","5.3","6.2","7.5","8.2","11","19.8"
"30～49歳","60","6.8","3","2.2","2.9","3.3","4.6","6.4","8.4","10.5","11.9","14.7"
"50～69歳","71","7.4","3.1","1.9","2.7","3.8","5.5","7.1","9.5","10.9","12.7","14.9"
"70歳以上","49","7.4","3.4","1.4","2.6","4","5.6","6.7","9.2","10.9","13.3","16.9"
"(再掲)妊婦","1","9.1","0","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1"
"授乳婦","1","4.5","0","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5"
