"","島しょ全体","大島町","利島村","新島村","神津島村","三宅村","御蔵島村","八丈町","青ヶ島村","小笠原村"
"〈総数〉BDHQ","1974","469","74","318","170","157","76","488","64","158"
"〈総数〉食習慣アンケート","2051","491","76","336","186","164","79","497","62","160"
"〈男性〉BDHQ","915","223","40","134","81","86","33","201","36","81"
"〈男性〉食習慣アンケート","954","235","42","140","93","88","34","206","34","82"
"〈女性〉BDHQ","1059","246","34","184","89","71","43","287","28","77"
"〈女性〉食習慣アンケート","1097","256","34","196","93","76","45","291","28","78"
