"種別","事項","25年4月","26年4月"
"児童発達支援（センター以外）","事業所数(か所)","122","159"
"児童発達支援（センター以外）","定員数(人)","2104","2382"
"放課後等デイサービス","事業所数(か所)","216","307"
"放課後等デイサービス","定員数(人)","2572","3441"
