"食品群別","亜鉛(mg)","ビタミンD(μg)","ビタミンE(mgα-TE)","ビタミンK(μg)","ビタミンB6(mg)","ビタミンB12(μg)","葉酸(μｇ)","パントテン酸(mg)","ビオチン(mg)","マンガン(μｇ)","ヨウ素(mgα-TE)","セレン(μｇ)","クロム(mg)","モリブデン(μｇ)"
"その他の野菜","0.30","0.00","0.20","37","0.11","0.00","58","0.27","1.00","0.24","1","0","1","4"
"キャベツ","0.00","0.00","0.00","20","0.02","0.00","16","0.04","0.40","0.06","0","0","0","1"
"きゅうり","0.00","0.00","0.00","3","0.00","0.00","2","0.03","0.10","0.01","0","0","0","0"
"大根","0.00","0.00","0.00","0","0.01","0.00","7","0.02","0.10","0.01","1","0","0","0"
"たまねぎ","0.00","0.00","0.00","0","0.04","0.00","4","0.05","0.20","0.04","0","0","0","0"
"はくさい","0.00","0.00","0.00","10","0.01","0.00","5","0.03","0.00","0.01","0","0","0","0"
"その他の淡色野菜","0.10","0.00","0.10","5","0.03","0.00","23","0.10","0.30","0.11","0","0","0","2"
"野菜ジュース","0.00","0.20","0.10","1","0.01","0.00","2","0.02","0.10","0.00","0","0","0","0"
"漬け物","0.00","0.00","0.00","5","0.02","0.00","5","0.05","0.00","0.03","0","0","0","0"
"葉類漬け物","0.00","0.00","0.00","3","0.01","0.00","2","0.01","0.00","0.01","0","0","0","0"
"たくあん･その他の漬け物","0.00","0.00","0.00","2","0.01","0.00","3","0.03","0.00","0.02","0","0","0","0"
"果実類","0.10","0.00","0.40","0","0.11","0.00","19","0.26","1.00","0.21","0","0","0","1"
"生果","0.10","0.00","0.30","0","0.10","0.00","17","0.24","1.00","0.20","0","0","0","1"
"いちご","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"柑橘類","0.00","0.00","0.10","0","0.01","0.00","4","0.05","0.10","0.01","0","0","0","0"
"バナナ","0.00","0.00","0.10","0","0.06","0.00","4","0.07","0.20","0.04","0","0","0","1"
"りんご","0.00","0.00","0.00","0","0.01","0.00","1","0.02","0.10","0.01","0","0","0","0"
"その他の生果","0.00","0.00","0.10","0","0.02","0.00","7","0.10","0.60","0.14","0","0","0","0"
"ジャム","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"果汁･果汁飲料","0.00","0.00","0.00","0","0.01","0.00","2","0.02","0.00","0.00","0","0","0","0"
"きのこ類","0.10","0.40","0.00","0","0.01","0.00","4","0.13","0.10","0.02","0","0","0","0"
"藻類","0.00","0.00","0.00","9","0.00","0.30","9","0.01","0.40","0.04","1010","0","0","1"
"魚介類","0.60","5.70","0.90","0","0.17","4.40","8","0.43","1.60","0.03","4","12","0","0"
"生魚介類","0.40","2.80","0.50","0","0.11","2.80","5","0.27","1.50","0.02","3","11","0","0"
"あじ､いわし類","0.10","0.90","0.10","0","0.03","1.10","1","0.07","0.50","0.01","1","3","0","0"
"さけ､ます","0.00","1.30","0.10","0","0.02","0.30","1","0.08","0.30","0.00","0","1","0","0"
"たい､かれい類","0.00","0.10","0.00","0","0.01","0.10","0","0.02","0.10","0.00","0","0","0","0"
"まぐろ､かじき類","0.00","0.30","0.10","0","0.03","0.20","0","0.02","0.10","0.00","1","4","0","0"
"その他の生魚","0.00","0.20","0.10","0","0.01","0.10","0","0.04","0.00","0.00","0","0","0","0"
"貝類","0.10","0.00","0.00","0","0.00","0.80","1","0.01","0.20","0.01","1","1","0","0"
"いか､たこ類","0.10","0.00","0.10","0","0.01","0.20","0","0.02","0.20","0.00","0","2","0","0"
"えび､かに類","0.00","0.00","0.10","0","0.00","0.00","1","0.02","0.00","0.00","0","0","0","0"
"魚介加工品","0.20","2.90","0.30","0","0.06","1.60","3","0.16","0.10","0.01","1","1","0","0"
"魚介(塩蔵､生干し｡乾物)","0.20","2.70","0.20","0","0.05","1.30","3","0.15","0.10","0.01","1","1","0","0"
"魚介(缶詰)","0.00","0.10","0.10","0","0.00","0.10","0","0.00","0.00","0.00","0","0","0","0"
"魚介(佃煮)","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"魚介(練り製品)","0.00","0.10","0.00","0","0.00","0.10","0","0.00","0.00","0.00","0","0","0","0"
"魚肉ハム･ソーセージ","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
"肉類","1.80","0.20","0.20","10","0.21","0.80","9","0.74","1.90","0.01","0","4","0","1"
"畜肉","1.40","0.20","0.20","2","0.15","0.50","1","0.42","0.20","0.01","0","1","0","0"
"牛肉","0.50","0.00","0.00","1","0.03","0.20","1","0.08","0.00","0.00","0","0","0","0"
"豚肉","0.80","0.10","0.10","1","0.09","0.10","1","0.25","0.20","0.00","0","1","0","0"
"ハム､ソーセージ類","0.20","0.10","0.00","0","0.02","0.10","0","0.10","0.00","0.00","0","0","0","0"
"その他の畜肉","0.00","0.00","0.00","0","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0"
