"","進学を希望する(%)","進学を希望しない(%)","無回答(%)"
"15-18歳学生","73.3","22.8","3.0"
"15-18歳非学生","30.7","66.2","3.1"
"19-23歳学生","30.3","62.6","7.2"
"19-23歳非学生","19.5","74.0","6.5"
