"","持っている(％)","持ちたいが持っていない(％)","持ちたくない／いらない(％)","無回答(％)"
"2室","82.2","15.1","2.7",""
"3室","92.3","6.1","1.4","0.2"
"4室","95.8","2.7","1.3","0.2"
"5室","97.4","1.5","1.1",""
"6室以上","96.5","2.3","0.6","0.7"
