設置,施設名,郵便番号,所在地,電話番号,定員
他の法人,ありがとう,-,大田区,-,6
社福法人,カリヨン夕やけ荘,-,大田区,-,6
社福法人,三宿憩いの家,-,世田谷区,-,6
社福法人,祖師谷憩いの家,-,世田谷区,-,6
社福法人,経堂憩いの家,-,世田谷区,-,6
社福法人,マナの家,-,杉並区,-,6
他の法人,自立援助ホーム陽気遊山,-,荒川区,-,5
社福法人,聖家族寮ミカエラホーム,-,練馬区,-,6
社福法人,長谷場新宿寮,-,足立区,-,15
社福法人,清周寮,-,足立区,-,15
社福法人,おうぎ寮,-,足立区,-,6
他の法人,あいこう,-,町田市,-,6
他の法人,ＷＡＲＡＫＵ,-,日野市,-,6
社福法人,トリノス,-,日野市,-,6
他の法人,マラナ・タハウス,-,国分寺市,-,6
社福法人,カリヨンとびらの家,-,国立市,-,6
他の法人,自立援助ホーム元気さん,-,福生市,-,6
社福法人,あすなろ荘,-,清瀬市,-,6
社福法人,まつぼっくり,-,西東京市,-,6
