"","平成22年(か所)","平成23年(か所)","平成24年(か所)","平成25年(か所)","平成26年(か所)"
"合計","1676","1701","1717","1737","1748"
"民立民営","113","113","115","115","118"
"公立民営","411","453","488","538","583"
"公立公営","1152","1135","1114","1084","1047"
