"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","40.5","19.5","6.4","15.8","20.8","27.4","38.5","50.2","62.8","76.6","106.8"
"1～2歳","4","32.1","24.8","3.5","6.9","11.1","23.9","31.2","39.4","53.7","58.5","62.3"
"3～5歳","5","25","5.7","19.7","19.9","20.2","20.9","21.9","30.4","31.3","31.6","31.8"
"6～7歳","6","34.3","15.4","20.8","20.8","20.8","22.8","30.8","39.1","51.2","56.3","60.4"
"8～9歳","3","27.4","2.4","25.1","25.3","25.5","26.2","27.4","28.6","29.4","29.6","29.8"
"10～11歳","5","39.4","16.7","26.7","26.8","27","27.6","36.4","38.5","56.1","62","66.7"
"12～14歳","8","45.4","16.9","24.8","26","27.5","32.4","44.3","54.3","65.1","69.9","73.7"
"15～17歳","6","58.2","20.3","31","34.7","39.3","51.3","59.3","59.5","76","84.2","90.7"
"18～29歳","20","47","24","10.7","22.3","24.8","35.8","43.4","52","68.3","97.5","111.2"
"30～49歳","42","36.5","15.8","7.6","18.5","21.1","24.7","34.9","43.6","51.9","67.2","79.2"
"50～69歳","60","44.2","21.1","13.5","17.1","23.6","31.1","40.8","52.2","63.8","85.2","109.9"
"70歳以上","46","37.5","18.2","3.6","9.7","16.5","25.5","37.3","47.4","52.7","70.3","86.4"
"女性総数","228","36.1","16.4","6.7","14","17.3","24.6","33.2","46","59.2","65.8","84.1"
"1～2歳","3","27.5","10.2","17.8","18.6","19.5","22.3","27","32.5","35.8","36.9","37.8"
"3～5歳","2","25","0.8","24.4","24.4","24.5","24.7","25","25.2","25.4","25.5","25.5"
"6～7歳","6","27.2","3.7","21.7","22.3","23","24.9","28.2","30.2","30.3","30.4","30.4"
"8～9歳","4","29.8","9","18.9","20.2","21.9","26.7","30.1","33.2","37.6","39","40.2"
"10～11歳","1","38.2","0","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2"
"12～14歳","8","40.7","7.7","31.1","32.1","33.4","36.6","39.1","43.5","50.9","52.4","53.6"
"15～17歳","7","39.9","14.6","19.3","22","25.3","31.9","34.9","50.2","55.7","58.4","60.5"
"18～29歳","17","40","20.3","6.4","14.7","21.3","29.4","35.4","49.8","70.2","77","81.3"
"30～49歳","60","35.3","16.1","6.7","13.2","15.5","24.9","32.7","46.1","59.1","61.8","72.7"
"50～69歳","71","38.8","15.3","12.9","17.7","19.6","27.5","37.6","49.2","59.9","64.3","75.7"
"70歳以上","49","32.8","19.4","4.2","10.4","14.7","20.6","28.7","42.5","57.7","70.6","86.9"
"(再掲)妊婦","1","72.9","0","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9"
"授乳婦","1","35.1","0","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1"
