"","事業所名","平成27年度／定員","平成27年度／対象者延人数","平成27年度／工賃支払総額","平成27年度／工賃平均額"
"1","豊芯会フードサービス事業部","","","","0.0"
"2","こぶし事業所","","","","0.0"
"3","かすたねっと","20","5472","3493152","638.4"
"4","クリーニングフランセ","","","","0.0"
"5","就労継続支援Ａ型事業所かがやき","24","3175","1345200","423.7"
"6","自立支援センターまめの樹","","","","0.0"
"7","コロニー東村山","","","","0.0"
"8","ワークセンターけやき","","","","0.0"
"9","プロシード","","","","0.0"
"10","うきま幸朋苑ブレッド＆バター","","","","0.0"
"11","竹の塚ひまわり園","","","","0.0"
"12","しごとも","","","","0.0"
"13","ワークショップハーモニー","32","34363","13460725","391.7"
"14","就労継続支援Ａ型事業所カフェフレンド","","","","0.0"
"15","ともにー","","","","0.0"
"16","パン工房プクプク","","","","0.0"
"17","綾瀬ひまわり園","","","","0.0"
"18","コロニー中野","","","","0.0"
"19","西府いこいプラザ","","","","0.0"
"20","クローバーズ・ピア本郷","","","","0.0"
"21","中央区立知的障害者生活支援施設レインボーハウス明石","","","","0.0"
"22","ぽむの樹","","","","0.0"
"23","福祉工場しながわ","","","","0.0"
"24","銀杏","","","","0.0"
"25","アイエスエフネットライフ青山","","","","0.0"
"26","ベジティア合同会社","","","","0.0"
"27","きせん事業所","","","","0.0"
"28","スワンカフェ＆ベーカリー町田２号店","","","","0.0"
"29","わくわく配食サービス","","","","0.0"
"30","ストローク・サービス","","","","0.0"
"31","社会福祉法人東京コロニー東京都大田福祉工場","","","","0.0"
"32","東京都板橋福祉工場就労継続支援Ａ型事業所","","","","0.0"
"33","谷在家福祉作業所","","","","0.0"
"34","社会福祉法人東京コロニー東京都葛飾福祉工場","","","","0.0"
"35","レッツ・エンジョイ","","","","0.0"
"36","ＥＯＳファーム日本橋","","","","0.0"
"37","アイエスエフネットベネフィット青山","","","","0.0"
"38","あかねっこ弁当","30","7021","2120026","302.0"
"39","東京ソテリアエンプロイメント","","","","0.0"
"40","みくま","10","1704","766800","450.0"
"41","めぐろ","","","","0.0"
"42","三鷹ひまわり第一共同作業所","10","7137","5435631","761.6"
"43","ワークワーク東京","","","","0.0"
"44","びおら株式会社地域貢献事業部","","","","0.0"
"45","あしか","","","","0.0"
"46","作業所スカイ","","","","0.0"
"47","すくらむ事業所","","","","0.0"
"48","大滝チャレンジド","","","","0.0"
"49","オフィスサプライ東京","","","","0.0"
"50","滝山事業所","11","1643","376446","229.1"
"51","アイリス","","","","0.0"
"52","スワンカフェ＆ベーカリー町田１号店","","","","0.0"
"53","シエル","","","","0.0"
"54","ステップアップともにー","","","","0.0"
"55","ナチュラルプランツ・サポート","","","","0.0"
"56","こもれび赤坂本社","","","","0.0"
"57","草むらde夢（畑deきっちん）","","","","0.0"
"58","イーストフライト","","","","0.0"
"59","赤オニの家","","","","0.0"
"60","就労継続支援A型エヴリィ","","","","0.0"
"61","きぼう工房東くるめ","","","","0.0"
"62","こうめ","","","","0.0"
"63","ハートエース","","","","0.0"
"64","立川おりおん","","","","0.0"
"65","自立支援塾ぱん工房","","","","0.0"
"66","阿梨ヶ舎","","","","0.0"
"67","フリージア","","","","0.0"
"68","ラトリエソサイエティ","","","","0.0"
"69","アップドラフト","","","","0.0"
"70","フロー・ネット","","","","0.0"
"71","エコミラ江東","","","","0.0"
"72","ラピス","","","","0.0"
"73","アトリエ・レダクラフト","","","","0.0"
"74","ワークプレイスぶんぶん","","","","0.0"
"75","明日楽","","","","0.0"
"76","はちす","","","","0.0"
"77","えがおワークス","","","","0.0"
"78","くじら","","","","0.0"
"79","すまいる・さぽーと品川","","","","0.0"
"80","ヒューマングロー亀戸","","","","0.0"
"81","ホープ就労支援センター渋谷","20","614","277987","452.7"
"82","プレスト池上","","","","0.0"
"83","Scopo","","","","0.0"
"84","ウィズミー","","","","0.0"
"85","就労支援事業所コイノニア","","","","0.0"
"86","東京都育成会クリーンサービス","","","","0.0"
"87","ダイニング街なか","","","","0.0"
"88","アース","","","","0.0"
"89","ディーセント・ワーク平山台","","","","0.0"
"90","ぽぷら八王子","","","","0.0"
"91","のんの","","","","0.0"
"","","","61129","27275967","446.2"
