"","平成17年","平成18年","平成19年","平成20年","平成21年","平成22年","平成23年","平成24年","平成25年","平成26年","平成27年"
"都男性(%)","13.8","14.3","13.1","13.9","15.5","17.6","18.6","17.6","16.3","16.0","15.9"
"都女性(%)","9.2","9.6","10.9","12.3","13.5","14.1","14.2","12.4","11.8","11.6","11.7"
"全国男性(%)","12.9","13.1","13.7","14.9","14.2","14.1","13.6","12.8","13.2","14.3","14.3"
"全国女性(%)","8.6","9.1","10.2","10.7","10.7","10.5","10.1","9.0","9.9","10.5","10.1"
