"","１歳未満(%)","１～５歳(%)","６～１０歳(%)","１１～１５歳(%)","１６～２０歳(%)","２１～２５歳(%)","２６歳以上(%)","無回答(%)","サンプル数","平均"
"TOTAL","11.1","24.1","12.4","11.8","8.6","5.3","5.4","21.2","7540","9.5"
"現在保育士就業中","7.6","18.6","13.5","15.4","11.4","6.6","5.9","20.9","3700","11.3"
"過去保育士就業経験有","16.2","25.9","9.8","9.3","6.0","4.6","5.2","23.1","1923","8.1"
"保育士就業経験無","12.6","34.5","13.0","7.4","5.5","3.8","3.9","19.2","1748","7.3"
