"","割合(%)"
"子どもの将来の教育にお金がかかること","39.1"
"自分の自由な時間がなくなること","21.6"
"子どもの相手は体力や根気がいること","20.1"
"子どもが小さいときの子育てにお金がかかること","18.1"
"自分が思ったように働けないこと","12.8"
