"順位","食物経口負荷試験実施食物","食物経口負荷試験(人数)","食物経口負荷試験(％)"
"1","卵","124","78.5"
"2","牛乳","51","32.3"
"3","小麦","33","20.9"
"4","大豆","11","7.0"
"5","落花生","9","5.7"
"6","ごま","6","3.8"
"7","そば","4","2.5"
"8","えび","3","1.9"
"8","かに","3","1.9"
"8","カシューナッツ","3","1.9"
"11","キウイ","2","1.3"
"11","鶏肉","2","1.3"
"11","さば","2","1.3"
"14","くるみ","1","0.6"
"14","さけ","1","0.6"
"14","もも","1","0.6"
"14","やまいも","1","0.6"
"14","りんご","1","0.6"
"14","バナナ","1","0.6"
"14","米","1","0.6"
"","いくら","0","0.0"
"","あわび","0","0.0"
"","牛肉","0","0.0"
"","いか","0","0.0"
"","オレンジ","0","0.0"
"","豚肉","0","0.0"
"","まつたけ","0","0.0"
"","グミ・ゼラチン","0","0.0"
"","その他","8","5.1"
