"","平成21年度","平成22年度","平成23年度","平成24年度","平成25年度"
"卒業生総数(人)","1424","1444","1511","1707","1744"
"企業就労者(人)","490","490","557","643","670"
"就労率(%)","34.4","33.9","36.9","37.7","38.4"
