"","平成7年／n","平成7年／Mean","平成7年／SD","平成8年／n","平成8年／Mean","平成8年／SD","平成9年／n","平成9年／Mean","平成9年／SD","平成10年／n","平成10年／Mean","平成10年／SD"
"1群","120","80.0","0.9","116","79.1","0.9","104","78.8","0.9","103","79.9","1.0"
"2群","316","80.8","0.6","288","79.7","0.6","268","80.1","0.6","283","80.1","0.7"
"3群","193","80.7","0.7","160","79.2","0.8","166","78.8","0.7","166","79.5","0.8"
