"上段：度数／下段：%","n=","勤務日数","勤務時間","通勤時間","給与等","雇用形態 正規職員採用","雇用形態　パート・非常勤採用","施設の運営方針への納得感","自身のキャリアアップが可能／やりがいを感じられる事","自身の健康状況の改善","働くことが可能な家庭の状況","求人情報の提供","研修等の再教育プログラム参加","その他","どのような条件でも保育士として働くつもりはない","無回答"
"ＴＯＴＡＬ","3969","2334","2053","2257","1807","1496","1284","1397","1444","311","1421","704","716","405","123","129"
"ＴＯＴＡＬ","100","58.8","51.7","56.9","45.5","37.7","32.4","35.2","36.4","7.8","35.8","17.7","18.0","10.2","3.1","3.3"
"性別・年代／女性計","3618","2164","1902","2101","1629","1335","1224","1290","1279","276","1348","650","650","364","101","112"
"性別・年代／女性計","100","59.8","52.6","58.1","45.0","36.9","33.8","35.7","35.4","7.6","37.3","18.0","18.0","10.1","2.8","3.1"
"性別・年代／女性２０代","1678","948","803","911","852","738","421","603","640","109","505","238","186","140","50","64"
"性別・年代／女性２０代","100","56.5","47.9","54.3","50.8","44.0","25.1","35.9","38.1","6.5","30.1","14.2","11.1","8.3","3.0","3.8"
"性別・年代／女性３０代","987","632","568","614","443","363","384","356","350","71","498","202","209","121","17","20"
"性別・年代／女性３０代","100","64.0","57.5","62.2","44.9","36.8","38.9","36.1","35.5","7.2","50.5","20.5","21.2","12.3","1.7","2.0"
"性別・年代／女性４０代","662","415","386","412","249","184","280","232","221","57","276","150","176","67","17","10"
"性別・年代／女性４０代","100","62.7","58.3","62.2","37.6","27.8","42.3","35.0","33.4","8.6","41.7","22.7","26.6","10.1","2.6","1.5"
"性別・年代／女性５０代以上","272","156","132","152","75","45","133","93","63","38","60","58","75","32","16","18"
"性別・年代／女性５０代以上","100","57.4","48.5","55.9","27.6","16.5","48.9","34.2","23.2","14.0","22.1","21.3","27.6","11.8","5.9","6.6"
"性別・年代／男性計","224","86","71","72","118","111","14","52","109","18","24","26","38","32","14","7"
"性別・年代／男性計","100","38.4","31.7","32.1","52.7","49.6","6.3","23.2","48.7","8.0","10.7","11.6","17.0","14.3","6.3","3.1"
"性別・年代／男性２０代","135","52","39","42","76","74","4","30","63","9","12","9","21","12","13","7"
"性別・年代／男性２０代","100","38.5","28.9","31.1","56.3","54.8","3.0","22.2","46.7","6.7","8.9","6.7","15.6","8.9","9.6","5.2"
"性別・年代／男性３０代以上","88","33","32","30","41","36","10","22","45","9","12","17","17","20","1","0"
"性別・年代／男性３０代以上","100","37.5","36.4","34.1","46.6","40.9","11.4","25.0","51.1","10.2","13.6","19.3","19.3","22.7","1.1","0.0"
"性別・年代／無回答","127","84","80","84","60","50","46","55","56","17","49","28","28","9","8","10"
"性別・年代／無回答","100","66.1","63.0","66.1","47.2","39.4","36.2","43.3","44.1","13.4","38.6","22.0","22.0","7.1","6.3","7.9"
