"","いつも参加している(％)","時々参加している(％)","たまに参加している(％)","参加したことはない(％)","無回答(％)"
"全体","7.2","19.5","20.9","51.0","1.4"
"困窮層","15.7","24.7","20.4","39.2",""
"周辺層","8.3","24.4","21.3","44.4","1.6"
"一般層","6.2","17.1","21.4","53.7","1.6"
