"","昭和50年(％)","昭和55年(％)","昭和60年(％)","平成2年(％)","平成7年(％)","平成12年(％)","平成17年(％)"
"東京都25～29歳","61.1","66.2","70.4","74.0","75.8","79.4","81.3"
"東京都30～34歳","25.7","34.4","40.1","43.7","48.3","54.2","57.7"
"全国25～29歳","48.3","55.1","60.4","64.4","66.9","69.3","71.4"
"全国30～34歳","14.3","21.5","28.1","32.6","37.3","42.9","47.1"
