"","施設総数","１はい／施設数","１はい／割合","２いいえ／施設数","２いいえ／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","294","18.5","1284","80.9","10","0.6"
"認証保育所＊","527","20","3.8","506","96.0","1","0.2"
"認定こども園＊","95","8","8.4","87","91.6","",""
"幼稚園＊","666","34","5.1","626","94.0","6","0.9"
"ベビーホテル","331","10","3.0","318","96.1","3","0.9"
"家庭的保育","596","12","2.0","577","96.8","7","1.2"
"学童保育","1169","79","6.8","1084","92.7","6","0.5"
"上記以外の施設","376","29","7.7","344","91.5","3","0.8"
"総数","5348","486","9.1","4826","90.2","36","0.7"
"＊前回調査施設 (再掲）","2876","356","12.4","2503","87.0","17","0.6" 
