"","平成２７年度","平成２７年度（実施率）(%)","平成２６年度","平成２６年度（実施率）(%)","平成２５年度","平成２５年度（実施率）(%)","平成２４年度","平成２４年度（実施率）(%)"
"区部(２３)","20","87.0","20","87.0","21","91.3","21","91.3"
"市部(２６)","22","84.6","24","92.3","25","96.2","24","92.3"
"町村部(１３)","9","69.2","9","69.2","8","61.5","9","69.2"
"計(６２)","51","82.3","53","85.5","54","87.1","54","87.1"
