"条件","-","（ア）","（イ）","（ウ）","（エ）","（オ）","（カ）","（キ）","（ク）","（ケ）","（コ）","（サ）","（シ）","（ス）","（セ）"
"乳の放置","なし","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）","あり（30～60分）"
"使用水","温水","冷水","冷水","冷水","温水","温水","温水","温水","温水","温水","温水","温水","温水","温水","温水"
"つけ置き","なし","なし","なし","なし","なし","なし","なし","温水のみ","温水のみ","温水のみ","弱アルカリ性洗剤溶液","弱アルカリ性洗剤溶液","弱アルカリ性洗剤溶液","重曹溶液","次亜塩素酸Ｎａ水溶液"
"洗浄用具","スポンジ","スポンジ","研磨剤入不織布","メラミンスポンジ","スポンジ","研磨剤入不織布","メラミンスポンジ","スポンジ","研磨剤入不織布","メラミンスポンジ","スポンジ","研磨剤入不織布","メラミンスポンジ","スポンジ","スポンジ"
"洗浄回数／１回目","-","+","+","+","+","+","+","+","+","+","+","-","-","-","-"
"洗浄回数／２回目","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-"
"洗浄回数／３回目","-","+","+","+","+","+","+","+","-","-","-","-","-","-","-"
