"","たばこ対策に取り組んでいる(%)","たばこ対策に取り組んでいない(%)"
"良い・やや良い・不変／n=28","75.0","25.0"
"やや悪い・悪い／n=88","51.0","49.0"
"総数／n=116","56.9","43.1"
