"","平成23年度(件)","平成24年度(件)","平成25年度(件)"
"小学校","2423","7187","5581"
"中学校","2195","4238","3854"
"高等学校","41","136","181"
"特別支援学校","12","43","42"
"合計","4671","11604","9658"
