"栄養素等別","総数／平均値","総数／標準偏差","総数／標準誤差","1～6歳／平均値","1～6歳／標準偏差","1～6歳／標準誤差","7～14歳／平均値","7～14歳／標準偏差","7～14歳／標準誤差","15～19歳／平均値","15～19歳／標準偏差","15～19歳／標準誤差","20～29歳／平均値","20～29歳／標準偏差","20～29歳／標準誤差","30～39歳／平均値","30～39歳／標準偏差","30～39歳／標準誤差","40～49歳／平均値","40～49歳／標準偏差","40～49歳／標準誤差","50～59歳／平均値","50～59歳／標準偏差","50～59歳／標準誤差","60～69歳／平均値","60～69歳／標準偏差","60～69歳／標準誤差","70歳以上／平均値","70歳以上／標準偏差","70歳以上／標準誤差","(再掲)20歳以上／平均値","(再掲)20歳以上／標準偏差","(再掲)20歳以上／標準誤差"
"調査人数(人)","205","","","12","","","19","","","10","","","16","","","20","","","22","","","29","","","31","","","46","","","164","",""
"エネルギー(kcal)","2011","586","41","1241","369","106","2000","504","116","2533","649","205","2049","373","93","1830","584","130","1965","464","99","2063","380","71","2235","666","120","2007","624","92","2037","555","43"
"たんぱく質(g)","73.6","24.4","1.7","48.7","19.5","5.6","69.9","21.3","4.9","94.6","27.5","8.7","75.7","20.4","5.1","65.9","20.2","4.5","70.7","26.4","5.6","74.9","22.5","4.2","83.4","23.9","4.3","73.7","24.0","3.5","74.6","23.5","1.8"
"うち動物性(g)","40.5","19.5","1.4","29.7","17.3","5.0","39.2","14.9","3.4","60.2","25.1","7.9","42.9","20.1","5.0","36.5","14.6","3.3","36.5","17.2","3.7","40.7","23.2","4.3","47.4","18.8","3.4","37.5","18.2","2.7","40.2","19.1","1.5"
"アミノ酸組成によるたんぱく質(g)","21.3","11.2","0.8","12.9","4.9","1.4","18.0","5.0","1.2","19.8","9.1","2.9","27.3","12.5","3.1","17.6","8.8","2.0","23.4","15.1","3.2","24.3","14.1","2.6","22.2","8.9","1.6","21.3","10.8","1.6","22.4","11.8","0.9"
"脂質","60.6","25.6","1.8","42.0","21.0","6.1","63.2","24.6","5.7","86.1","27.9","8.8","63.8","24.0","6.0","56.6","27.2","6.1","61.7","24.6","5.2","59.3","16.8","3.1","62.2","26.9","4.8","58.8","27.8","4.1","60.2","24.8","1.9"
"動物性脂質(g)","31.6","17.0","1.2","26.4","17.0","4.9","35.3","19.2","4.4","55.0","24.2","7.6","32.4","18.3","4.6","28.8","16.2","3.6","32.2","15.1","3.2","30.7","14.2","2.6","31.5","15.3","2.7","27.6","14.5","2.1","30.1","15.2","1.2"
"植物性脂質(g)","29.0","16.2","1.1","15.6","6.7","1.9","27.8","10.9","2.5","31.2","10.5","3.3","31.4","15.3","3.8","27.7","15.7","3.5","29.4","14.3","3.0","28.7","12.4","2.3","30.8","15.1","2.7","31.2","22.9","3.4","30.0","17.1","1.3"
"炭水化物(g)","262.5","77.5","5.4","164.0","47.1","13.6","281.7","66.5","15.3","330.9","90.4","28.6","270.5","64.6","16.2","241.4","90.1","20.1","258.2","51.3","10.9","255.3","70.2","13.0","281.5","65.9","11.8","256.8","83.5","12.3","263.4","73.4","5.7"
"カリウム(mg)","2304","844","59","1582","633","183","2324","727","167","2525","546","173","2243","641","160","2032","813","182","2205","837","178","2159","629","117","2814","1058","190","2372","857","126","2341","864","67"
"カルシウム(mg)","503","247","17","465","324","94","621","173","40","593","299","94","459","276","69","394","175","39","395","190","40","479","239","44","573","265","48","527","244","36","486","242","19"
"マグネシウム(mg)","252","94","7","156","55","16","223","58","13","249","79","25","246","58","14","213","76","17","243","103","22","256","72","13","314","122","22","267","93","14","262","96","8"
"リン(mg)","1033","336","23","758","338","98","1043","275","63","1259","415","131","1054","282","70","903","278","62","936","336","72","1029","262","49","1195","361","65","1043","342","50","1039","328","26"
"鉄(mg)","7.6","3.3","0.2","4.4","1.8","0.5","6.4","2.2","0.5","7.3","2.5","0.8","7.8","2.6","0.6","6.6","2.3","0.5","7.4","3.4","0.7","7.8","2.7","0.5","9.1","3.9","0.7","8.5","3.6","0.5","8.0","3.3","0.3"
"亜鉛(mg)","8.5","3.0","0.2","5.6","2.0","0.6","8.6","2.3","0.5","11.0","3.5","1.1","8.9","3.0","0.8","7.7","2.5","0.6","8.7","2.5","0.5","8.5","2.2","0.4","9.3","3.0","0.5","8.1","3.5","0.5","8.5","2.9","0.2"
"銅(mg)","1.13","0.39","0.03","0.71","0.23","0.07","1.08","0.28","0.06","1.13","0.32","0.10","1.17","0.36","0.09","0.95","0.31","0.07","1.09","0.41","0.09","1.10","0.29","0.05","1.36","0.42","0.07","1.19","0.43","0.06","1.16","0.40","0.03"
"マンガン(μg)","3.17","1.37","0.10","1.42","0.48","0.14","2.64","0.85","0.20","2.96","0.96","0.30","3.13","1.26","0.32","2.90","1.26","0.28","3.06","1.18","0.25","2.99","0.92","0.17","3.84","1.48","0.27","3.75","1.57","0.23","3.38","1.38","0.11"
"ヨウ素(μg)","1383","5566","389","1110","3150","909","1569","5207","1195","364","958","303","398","984","246","1484","4473","1000","478","1901","405","149","275","51","3126","10373","1863","1933","6351","936","1443","5914","462"
"セレン(μg)","49","41","3","37","19","5","34","16","4","48","32","10","54","50","13","44","33","7","40","33","7","61","70","13","47","29","5","58","35","5","52","44","3"
"クロム(μg)","6","3","0","4","2","1","6","2","1","7","5","2","6","2","1","5","2","1","5","3","1","6","3","1","6","4","1","7","4","1","6","3","0"
"モリブデン(μg)","169","85","6","113","78","23","162","60","14","172","70","22","223","120","30","141","78","17","158","96","20","165","70","13","199","85","15","165","82","12","173","88","7"
"ビタミンA(レチノール当量)(μgRE)","561","864","60","385","261","75","484","282","65","470","153","48","982","2264","566","368","322","72","551","404","86","536","719","133","782","1202","216","466","291","43","588","957","75"
"ビタミンD(μg)","7.7","8.2","0.6","5.8","8.6","2.5","5.2","5.7","1.3","4.8","3.8","1.2","5.2","6.6","1.7","6.7","6.5","1.4","6.9","9.8","2.1","5.9","8.7","1.6","12.9","9.6","1.7","9.1","7.6","1.1","8.3","8.6","0.7"
