"","３時間未満(%)","３～５時間未満(%)","５～７時間未満(%)","７～９時間未満(%)","９時間以上(%)","無回答(%)","サンプル数","平均"
"TOTAL","","8.7","9.3","41.3","33.7","4.6","8214","8.1"
"正規職員","","","","46.0","47.6","5.6","4702","9.3"
"有期契約職員フルタイム","","","4.1","60.5","31.8","","886","8.7"
"有期契約職員パートタイム","7.1","27.6","27.4","26.3","8.4","3.2","2536","5.8"
