"","よい(％)","まあよい(％)","ふつう(％)","あまりよくない(％)","よくない(％)","無回答(％)"
"困窮層","27.4","8.6","44.2","16.7","3.1",""
"周辺層","44.7","5.3","39.9","8.1","1.6","0.3"
"一般層","48.1","8.9","38.9","3.7","0.3","0.1"
