"","30分以内(％)","30分～1時間(％)","1時間～2時間(％)","2時間～3時間(％)","3時間以上(％)"
"男子","68.4","14.1","4.5","1.5","3.4"
"女子","54.3","13.6","10.4","5.2","7.3"
