"","平成19年","平成20年","平成21年","平成22年","平成23年","平成24年","平成25年"
"教室数（都立特別支援学校含む）(か所)","475","713","883","958","1009","1049","1101"
"区市町村数(区市町)","38","46","48","50","51","52","52"
