"","１本(％)","２本(％)","３本(％)","４本以上(％)","無回答(％)"
"困窮層","7.4","5.7","7.6","5.5","5.3"
"周辺層","5.2","5.9","3.2","1.5","0.6"
"一般層","6.8","3.4","1.9","1.3","2.9"
