"食品群別","総数／平均値","総数／標準化比","総数／標準偏差","総数／標準誤差","1～6歳／平均値","1～6歳／標準偏差","1～6歳／標準誤差","7～14歳／平均値","7～14歳／標準偏差","7～14歳／標準誤差","15～19歳／平均値","15～19歳／標準偏差","15～19歳／標準誤差","20～29歳／平均値","20～29歳／標準偏差","20～29歳／標準誤差","30～39歳／平均値","30～39歳／標準偏差","30～39歳／標準誤差","40～49歳／平均値","40～49歳／標準偏差","40～49歳／標準誤差","50～59歳／平均値","50～59歳／標準偏差","50～59歳／標準誤差","60～69歳／平均値","60～69歳／標準偏差","60～69歳／標準誤差","70歳以上／平均値","70歳以上／標準偏差","70歳以上／標準誤差","(再掲)20歳以上／平均値","(再掲)20歳以上／標準偏差","(再掲)20歳以上／標準誤差"
"調査人数","205","","","","12","","","19","","","10","","","16","","","20","","","22","","","29","","","31","","","46","","","164","",""
"総量(g/日)","2347.2","107.3","793.9","55.4","1374.6","351.0","101.3","2187.4","791.5","181.6","2520.9","939.4","297.1","2283.4","616.7","154.2","2397.3","767.6","171.6","2514.6","824.4","175.8","2483.7","673.1","125.0","2608.3","968.8","174.0","2287.4","671.4","99.0","2426.3","762.7","59.6"
"動物性食品(g/日)","348.4","100.2","191.5","13.4","373.0","297.8","86.0","481.4","164.0","37.6","519.3","225.8","71.4","360.3","173.4","43.3","279.6","123.1","27.5","275.2","126.0","26.9","307.0","178.5","33.1","379.8","200.4","36.0","315.6","177.1","26.1","320.7","171.6","13.4"
"植物性食品(g/日)","1998.8","108.7","760.3","53.1","1001.7","228.5","66.0","1706.1","759.0","174.1","2001.7","803.6","254.1","1923.1","611.0","152.8","2117.7","788.1","176.2","2239.4","791.3","168.7","2176.7","642.8","119.4","2228.5","892.9","160.4","1971.9","620.4","91.5","2105.5","725.2","56.6"
"穀類(g/日)","453.2","89.9","174.5","12.2","246.8","105.2","30.4","437.0","149.9","34.4","541.3","224.4","71.0","488.7","181.4","45.3","433.6","176.9","39.6","493.5","143.1","30.5","484.2","168.7","31.3","450.7","161.2","29.0","453.8","179.6","26.5","464.8","168.3","13.1"
"米･加工品(g/日)","309.2","80.5","173.5","12.1","167.4","102.2","29.5","336.2","165.4","37.9","370.3","171.9","54.4","374.6","214.9","53.7","296.5","185.5","41.5","315.8","163.8","34.9","311.3","173.4","32.2","345.5","189.5","34.0","275.6","147.5","21.7","312.7","174.6","13.6"
"小麦･加工品(g/日)","125.5","113.9","113.0","7.9","70.3","49.7","14.4","93.6","70.6","16.2","171.0","128.3","40.6","114.1","116.3","29.1","126.2","129.4","28.9","149.9","131.3","28.0","137.1","120.5","22.4","78.3","92.3","16.6","159.5","113.3","16.7","130.4","117.8","9.2"
"いも類(g/日)","47.3","87.0","59.2","4.1","20.8","21.1","6.1","88.2","89.7","20.6","57.7","61.7","19.5","52.1","48.9","12.2","53.7","65.3","14.6","46.1","64.4","13.7","49.0","57.2","10.6","47.5","62.7","11.3","30.1","36.7","5.4","43.9","54.7","4.3"
"砂糖･甘味料類(g/日)","6.1","93.0","7.5","0.5","3.9","3.4","1.0","6.9","8.9","2.0","6.3","7.8","2.5","5.8","9.4","2.4","4.9","5.9","1.3","5.7","7.1","1.5","2.4","3.1","0.6","7.7","8.8","1.6","8.5","7.9","1.2","6.2","7.5","0.6"
"豆類(g/日)","61.9","98.5","91.5","6.4","35.9","23.3","6.7","33.8","36.1","8.3","20.3","49.3","15.6","79.7","86.6","21.7","27.1","35.9","8.0","75.1","163.7","34.9","74.8","87.1","16.2","73.4","105.9","19.0","76.0","84.0","12.4","69.6","99.3","7.8"
"種実類(g/日)","1.9","100.9","4.7","0.3","2.4","4.4","1.3","1.2","2.0","0.5","0.0","0.0","0.0","0.8","1.2","0.3","1.0","3.3","0.7","2.9","6.1","1.3","1.6","5.6","1.0","3.5","6.8","1.2","1.6","3.9","0.6","2.0","5.0","0.4"
"野菜類(g/日)","285.2","101.6","155.1","10.8","155.5","74.8","21.6","304.5","139.1","31.9","268.2","92.1","29.1","248.0","149.2","37.3","255.8","137.5","30.8","344.6","169.8","36.2","272.8","138.4","25.7","359.9","186.5","33.5","269.7","150.8","22.2","293.5","160.5","12.5"
"緑黄色野菜(g/日)","82.2","98.3","68.0","4.7","60.3","40.6","11.7","74.0","57.3","13.1","68.3","27.1","8.6","54.9","63.6","15.9","63.2","52.7","11.8","98.4","61.5","13.1","78.9","58.6","10.9","100.0","80.9","14.5","94.3","84.7","12.5","85.6","72.1","5.6"
"その他の野菜(g/日)","172.4","99.4","109.4","7.6","94.8","46.1","13.3","226.4","114.6","26.3","167.0","91.7","29.0","172.3","104.2","26.0","174.3","97.5","21.8","210.2","148.3","31.6","160.7","106.4","19.8","200.0","115.6","20.8","141.3","88.2","13.0","172.1","110.2","8.6"
"果実類(g/日)","89.4","86.9","118.7","8.3","118.1","113.1","32.6","107.3","157.5","36.1","97.1","140.4","44.4","31.4","57.9","14.5","59.0","72.9","16.3","55.7","92.9","19.8","37.1","62.0","11.5","124.8","143.6","25.8","131.3","128.0","18.9","84.7","113.2","8.8"
"生果物(g/日)","75.8","84.4","105.0","7.3","83.7","106.3","30.7","63.2","81.1","18.6","30.1","51.0","16.1","31.2","58.0","14.5","46.5","58.4","13.1","55.2","92.6","19.8","36.0","61.4","11.4","116.1","135.7","24.4","125.2","127.9","18.9","79.5","109.5","8.5"
"ジャム(g/日)","1.1","96.3","4.2","0.3","1.2","4.0","1.2","0.9","3.3","0.7","1.1","3.3","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1","3.5","0.7","1.2","4.6","0.8","2.7","6.5","1.0","1.2","4.3","0.3"
"果汁･果汁飲料(g/日)","12.4","105.3","56.1","3.9","33.2","76.2","22.0","43.2","110.6","25.4","66.0","141.1","44.6","0.3","1.0","0.3","12.5","55.9","12.5","0.5","2.6","0.5","0.0","0.0","0.0","7.6","37.7","6.8","3.4","15.2","2.2","4.0","26.6","2.1"
"きのこ類(g/日)","12.9","76.9","22.3","1.6","8.3","12.1","3.5","16.4","17.6","4.0","10.1","18.4","5.8","4.1","12.9","3.2","18.2","32.2","7.2","16.8","28.6","6.1","11.2","19.4","3.6","7.7","15.7","2.8","16.7","25.5","3.8","13.0","23.5","1.8"
"藻類(g/日)","12.2","116.6","25.0","1.7","3.4","3.7","1.1","11.8","24.7","5.7","22.0","64.3","20.3","7.9","16.0","4.0","6.5","11.9","2.7","4.3","10.0","2.1","15.5","22.6","4.2","15.8","22.9","4.1","15.9","27.9","4.1","12.3","21.8","1.7"
"魚介類(g/日)","72.4","91.3","75.8","5.3","27.7","42.0","12.1","55.6","52.9","12.1","46.3","47.2","14.9","49.1","81.9","20.5","64.9","56.0","12.5","35.8","39.5","8.4","79.1","86.3","16.0","124.5","85.1","15.3","86.2","81.0","11.9","79.2","79.9","6.2"
