"","H17／10月","H21年度末","H22年度末","H23年度末","H24年度末","H25年度末","H26年度末","H27年度末","H28年度末","（目標）"
"定員数(人)","7344","7443","7451","7418","7374","7413","7411","7446","7433","7344"
"定員数/都内(人)","4133","4267","4278","4268","4224","4264","4321","4359","4359",""
"定員数/都外(人)","3211","3176","3173","3150","3150","3149","3090","3087","3074",""
