"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","6.4","3.3","1.4","2.4","3.1","4.2","5.9","7.7","10.9","12.1","16.8"
"1～2歳","4","3.3","1.4","1.7","1.8","2","2.5","3.5","4.3","4.4","4.5","4.5"
"3～5歳","5","3.7","1.4","1.6","1.9","2.3","3.5","4","4.7","4.9","5","5"
"6～7歳","6","4.2","1.4","2.7","2.8","2.8","3","4.2","5","5.7","6","6.3"
"8～9歳","3","4.6","1.3","3.3","3.4","3.5","3.9","4.6","5.3","5.7","5.8","5.9"
"10～11歳","5","6.7","3.2","3.6","3.9","4.2","5.1","5.9","7","10","11","11.8"
"12～14歳","8","7.3","2.9","4","4.4","4.8","5.6","6.2","8.8","11.6","11.8","12"
"15～17歳","6","5.9","1.6","4.2","4.4","4.6","5.2","5.4","6","7.5","8.2","8.7"
"18～29歳","20","6.4","3","1.4","2.3","3.1","4","6.8","8","11.1","11.6","11.6"
"30～49歳","42","5.9","2.9","1.9","2.3","3.2","4.3","5","6.9","10","12.1","14.7"
"50～69歳","60","7","3.6","2.3","2.7","3.3","4.4","6.4","8.9","10.9","15.1","17.8"
"70歳以上","46","7.1","3.5","0.9","2.1","3.5","5","6.7","8.5","11.2","12.7","16.9"
"女性総数","228","6.4","3.1","1.2","2.2","3.2","4.4","5.9","7.7","10.5","12.5","15.4"
"1～2歳","3","3.7","1.4","2.7","2.7","2.8","2.9","3.1","4.3","4.9","5.2","5.3"
"3～5歳","2","5.8","2.4","4.1","4.3","4.5","5","5.8","6.7","7.2","7.4","7.5"
"6～7歳","6","5.3","1.3","3.7","3.8","4.1","4.5","5","5.9","6.7","7","7.3"
"8～9歳","4","4.3","1","3.3","3.4","3.4","3.6","4.3","5.1","5.3","5.4","5.4"
"10～11歳","1","6","0","6","6","6","6","6","6","6","6","6"
"12～14歳","8","6.2","1.9","4.5","4.5","4.6","4.8","5.3","7.3","8.4","9.2","9.8"
"15～17歳","7","6.6","2.3","3.4","3.7","4.1","5.4","6.2","8.1","9.4","9.5","9.7"
"18～29歳","17","5.7","2.9","1.2","1.2","2.1","3.8","5.4","7.6","9.4","10.7","10.9"
"30～49歳","60","6.1","2.7","1.4","3","3.3","4.2","5.7","7.2","9.6","11.5","13.3"
"50～69歳","71","7","3.3","1.3","2.2","3.2","5.2","6.7","8.5","12","13.6","14.9"
"70歳以上","49","6.6","3.6","1","2.2","3.1","4.7","5.9","7.6","10.9","12.9","18.1"
"(再掲)妊婦","1","12.6","0","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6"
"授乳婦","1","4.4","0","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4"
