"","n","%"
"5000人以下","35","12.8"
"5001～10000人","27","9.9"
"10001～50000人","94","34.3"
"50001～100000人","74","27.0"
"100001～300000人","29","10.6"
"300001人～500000人","10","3.6"
"500001人以上","2","0.7"
"無回答","3","1.1"
"合計","274","100"
