"保育士経験","勤務日数(%)","勤務時間(%)","通勤時間(%)","給与等(%)","雇用形態（正規）(%)","雇用形態（ﾊﾟｰﾄ等）(%)","運営方針(%)","やりがい(%)","自身の健康状態(%)","家庭状況(%)","求人情報の提供(%)","研修参加(%)","その他(%)","働くつもりはない(%)","無回答(%)"
"あり","66.8","62.1","66.8","38.7","24.5","49.5","32.0","28.0","10.8","36.9","17.2","13.4","12.0","3.8","2.1"
"なし","58.8","51.7","56.9","45.5","37.7","32.4","35.2","36.4","7.8","35.8","17.7","18.0","10.2","3.1","3.3"
