"性別","島しょ全体(g/日)","大島出張所管内(g/日)","大島町(g/日)","利島村(g/日)","新島村(g/日)","神津島村(g/日)"
"男性","12.1","12.5","12.5","11.3","12.7","12.4"
"女性","10.6","10.9","11.0","9.9","10.6","11.3"
