"","度数","%"
"18～20歳","158","38.5"
"21～25歳","82","20.0"
"26～30歳","52","12.7"
"30～40歳","83","20.3"
"40～50歳","21","5.1"
"50歳以上","1","0.2"
"無記入","13","3.2"
"合計","410","100.0"
