"","H19年度末","H20年度末","H21年度末","H22年度末","H23年度末","H24年度末","H25年度末","H26年度末（第３期目標）"
"地域生活移行者数(人)","373","520","690","842","1001","1127","1212","2204"
"地域生活移行者数割合(%)","","","","","","","16.5","30"
